personality,title,choice_min_point,choice_max_point,choice_min_word,choice_max_word,point_reversal
friendly,他の人たちと笑ったり冗談を言い合ったりすることは少ない。,1,7,まったく当てはまらない,完全に当てはまる,TRUE
proud_of_himself,気分が落ち込んだときは、ユーモアで自分を奮いたたせる。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
aggressive,誰かが犯したミスをからかうことがよくある。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
self_deprecating,必要以上に自分の身を削って他人を笑わせることがある。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
friendly,他人を笑わせるために、あまり努力をしたことがない。自分は素でおもしろい人間ではないかと思う。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
proud_of_himself,一人でいるときでも、人生のユーモラスな側面を見つけて笑ってしまうことがある。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
aggressive,自分の冗談で他人が傷ついたり怒ったことは一度もない。,1,7,まったく当てはまらない,完全に当てはまる,TRUE
self_deprecating,家族や友人が笑ってくれると思ったら、調子にのって自分を卑下してしまう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
friendly,自分のおもしろい体験で他人を笑わせることはほとんどない。,1,7,まったく当てはまらない,完全に当てはまる,TRUE
proud_of_himself,不安になったり嫌な気分になったときは、その状況のおもしろい側面について考えて、気分を変えようとする。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
aggressive,冗談を言ったり、なにかおもしろいことを言うときに、他人がどう受け取るかは気にならない。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
self_deprecating,他人に自分を好きになってもらう、または受け入れてもらうために、自分の弱点や失敗をおもしろく話すことがある。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
friendly,友人とよく冗談を言って笑いあっている。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
proud_of_himself,人生のユーモラスな側面に気づくことで、過剰に不安になったり、気分が落ち込んでしまうのを防いでいる。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
aggressive,誰かをけなしたり批判するような笑いは嫌いだ。,1,7,まったく当てはまらない,完全に当てはまる,TRUE
self_deprecating,自分を下げるような冗談はほとんど言わない。,1,7,まったく当てはまらない,完全に当てはまる,TRUE
friendly,人を喜ばせたり冗談を言うのが好きではない。,1,7,まったく当てはまらない,完全に当てはまる,TRUE
proud_of_himself,ひとりきりで気分が落ち込んでいるときは、何かおもしろいことを考えて気分を高める。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
aggressive,とてもおもしろいことを思いつくと、その場にふさわしくないような内容でも声に出してしまう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
self_deprecating,なにかおもしろいことを言うときは、つい自分を卑下しすぎてしまう。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
friendly,他人を笑わせるのは楽しい。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
proud_of_himself,悲しみや不安を感じると、ついユーモアを忘れてしまう。,1,7,まったく当てはまらない,完全に当てはまる,TRUE
aggressive,周囲が他人を嘲笑しているときでも、自分は絶対にその輪には加わらない。,1,7,まったく当てはまらない,完全に当てはまる,TRUE
self_deprecating,友人や家族と一緒のときに、からかいの対象になることがよくある。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
friendly,友人と冗談を言い合うことはほとんどない。,1,7,まったく当てはまらない,完全に当てはまる,TRUE
proud_of_himself,ある状況のおもしろい面について考えることで、なんらかの問題を効果的に解決した経験がある。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
aggressive,好きじゃない相手に対して、その人をからかったり嘲笑するような冗談を言うことがある。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
self_deprecating,なにか問題を抱えていたり、気分が落ち込んでいるときに、冗談を言って自分の内面を隠すことがある。そのため、もっとも親しい友人でも、自分の本当の気持ちはわかっていない。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
friendly,他の人と一緒にいるときは、特に気の利いたことを言おうとは思わない。,1,7,まったく当てはまらない,完全に当てはまる,TRUE
proud_of_himself,ひとりでいるときでも、なにか笑えるようなことを見つけられるので、楽しい気分になるために他の人と話す必要を感じない。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
aggressive,最高におもしろいことを思いついても、それが他人を傷つける内容であれば声には出さない。,1,7,まったく当てはまらない,完全に当てはまる,TRUE
self_deprecating,自分の欠点や失敗などをイジってもらうのは、自分にとって、家族や友人を楽しませる手段である。,1,7,まったく当てはまらない,完全に当てはまる,FALSE
